Variable,Description
person_id_syn,Person Unique ID
transportation_issues,"1 = transportation challenge, 0 = no transportation challenge"
src_platform_cd, Standard Humana Member Identifier - unique when paired with src_mbr_id
sex_cd, Member gender
lang_spoken_cd, Preferred Language for Member
mabh_seg,Medicare Segmentation
cms_ra_factor_type_cd,CMS Risk Adjustment Factor Type
cons_cmys,KBM-Category-Census Education Level
cons_hcaccprf_h,"KBM - Predicts the type of facility an individual is likely to go to for their healthcare needs, household"
cons_hcaccprf_p,"KBM - KBM - Predicts the type of facility an individual is likely to go to for their healthcare needs, person"
cons_hhcomp,KBM-Category-Household Composition
cons_homstat,KBM-NUM-Homeowner Status
hedis_ami,HEDIS - Persistence of Beta-Blocker Treatment After a Heart Attack
hedis_cmc_ldc_c_control,HEDIS - LDL Cholesterol in control 
hedis_cmc_ldc_c_screen,HEDIS - LDL Cholesterol screening 
rucc_category, Member geographic information - Rural Urban Continuum Code
zip_cd,Zipcode populated for a subset of the members
cnty_cd,FIPS county code (without state part)
state_cd, Member geographic information - Postal Abbreviation
est_age," Member age calculated using est_bday, relative to score/index date"
cci_score," Charlson Comorbidity Index value, sum of clinical and age components - adjusted for hierarchy"
dcsi_score, Final Diabetes Cormorbidity Severity Index score
fci_score, Functional Comorbidity Index value calculated from 18 components
hcc_weighted_sum, Sum of weighted existing HCC categories present in the reference table for each member
betos_d1c_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_d1d_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_m1b_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_m2c_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_m5b_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_m5c_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_m5d_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_o1a_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_o1b_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_o1e_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_o1g_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_t1a_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_t1b_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_t1e_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_t1h_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_t2a_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_y2_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
credit_bal_1stmtg_30to59dpd,Balance 1st Mortgage Accts - 30 to 59 dpd
credit_bal_1stmtg_60to89dpd,Balance 1st Mortgage Accts - 60 to 89 dpd
credit_bal_1stmtg_collections,Balance 1st Mortgage Accts - 120 dpd or Collections
credit_bal_1stmtg_severederog,Balance 1st Mortgage Accts - Severe Derogatory Accts
credit_bal_1stmtgcredit_60dpd,Balance 1st Mortgage Accts 60+ dpd
credit_bal_agency1stmorg_collect,Balance Agency 1st Mortgage Accts - 120 dpd or Collections
credit_bal_agencyfirstmtg_60dpd,Balance Agency 1st Mortgage Accts 60+ dpd
credit_bal_agencyfirstmtg_new,Balance Agency 1st Mortgage Accts New w/in 12 months
credit_bal_autobank,Balance Auto Bank Loan Accts
credit_bal_autobank_new,Balance Auto Bank Loan Accts New w/in 12 months
credit_bal_autofinance,Balance Auto Finance Loan Accts
credit_bal_autofinance_new,Balance Auto Finance Loan Accts New w/in 12 months
credit_bal_bankcard_severederog,Balance Bank Card Accts - Severe Derogatory Accts
credit_bal_consumerfinance,Balance Consumer Finance Accts
credit_bal_consumerfinance_new,Balance Consumer Finance Accts New w/in 12 months
credit_bal_heloc_60dpd,Balance HELOC Accts 60+ dpd
credit_bal_heloc_severederog,Balance HELOC Accts - Severe Derogatory Accts
credit_bal_mtg_90to119dpd,Balance All Mortgage Accts - 90 to 119 dpd
credit_bal_mtg_bankruptcy,Balance All Mortgage Accts -  Bankruptcy Accts
credit_bal_mtg_severederog,Balance All Mortgage Accts - Severe Derogatory Accts
credit_bal_mtgcredit_new,Balance All Mortgage Type Accts New w/in 12 months
credit_bal_nonagn1stmorg_30to59d,Balance Non-Agency 1st Mortgage Accts - 30 to 59 dpd
credit_bal_nonagn1stmorg_60to89d,Balance Non-Agency 1st Mortgage Accts - 60 to 89 dpd
credit_bal_nonagn1stmorg_90to119,Balance Non-Agency 1st Mortgage Accts - 90 to 119 dpd
credit_bal_nonagn1stmorg_bankrup,Balance Non-Agency 1st Mortgage Accts -  Bankruptcy Accts
credit_bal_nonagn1stmorg_collect,Balance Non-Agency 1st Mortgage Accts - 120 dpd or Collections
credit_bal_nonagnfirstmtg_60dpd,Balance Non-Agency 1st Mortgage Accts 60+ dpd
credit_bal_nonmtgcredit_60dpd,Balance Non-Mortgage Loan Accts 60+ dpd
